edge_type,round_idx,timestamp,source_message_id,target_message_id,source_agent_id,target_agent_id,target_entity,channel,edge_source,edge_weight
reply,0,2046-05-17T09:01:00,20460517_00_002,20460517_00_001,quality_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,0,2046-05-17T09:02:00,20460517_00_003,20460517_00_002,quality_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,0,2046-05-17T09:03:00,20460517_00_004,20460517_00_003,quality_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,0,2046-05-17T09:04:00,20460517_00_005,20460517_00_004,legal_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,0,2046-05-17T09:05:00,20460517_00_006,20460517_00_005,pr_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,0,2046-05-17T09:06:00,20460517_00_007,20460517_00_006,legal_agent,pr_agent,pr_agent,comms_huddle,responding_to_valid,1
reply,0,2046-05-17T09:07:00,20460517_00_008,20460517_00_007,social_media_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,0,2046-05-17T09:08:00,20460517_00_009,20460517_00_008,quality_agent,social_media_agent,social_media_agent,comms_huddle,responding_to_valid,1
reply,0,2046-05-17T09:09:00,20460517_00_010,20460517_00_009,quality_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,0,2046-05-17T09:10:00,20460517_00_011,20460517_00_010,pr_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,0,2046-05-17T09:11:00,20460517_00_012,20460517_00_011,legal_agent,pr_agent,pr_agent,comms_huddle,responding_to_valid,1
reply,0,2046-05-17T09:12:00,20460517_00_013,20460517_00_012,social_media_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,0,2046-05-17T09:13:00,20460517_00_014,20460517_00_013,quality_agent,social_media_agent,social_media_agent,comms_huddle,responding_to_valid,1
reply,0,2046-05-17T09:14:00,20460517_00_015,20460517_00_014,legal_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,0,2046-05-17T09:16:00,20460517_00_017,20460517_00_016,legal_agent,quality_agent,quality_agent,one_on_one_chat,responding_to_valid,1
reply,0,2046-05-17T09:18:00,20460517_00_019,20460517_00_015,quality_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,0,2046-05-17T09:19:00,20460517_00_020,20460517_00_019,pr_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
thread_parent,0,2046-05-17T09:20:00,20460517_00_021,20460517_00_017,quality_agent,legal_agent,legal_agent,one_on_one_chat,heuristic,1
reply,0,2046-05-17T09:21:00,20460517_00_022,20460517_00_021,social_media_agent,quality_agent,quality_agent,one_on_one_chat,responding_to_valid,1
reply,0,2046-05-17T09:22:00,20460517_00_023,20460517_00_020,social_media_agent,pr_agent,pr_agent,comms_huddle,responding_to_valid,1
mention,0,2046-05-17T09:22:00,20460517_00_023,,social_media_agent,,@PropTechWatcher,comms_huddle,content_mention,1
thread_parent,0,2046-05-17T09:23:00,20460517_00_024,20460517_00_018,pr_agent,social_media_agent,social_media_agent,official_post,heuristic,1
reply,0,2046-05-17T09:24:00,20460517_00_025,20460517_00_023,quality_agent,social_media_agent,social_media_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:01:00,20460518_01_002,20460518_01_001,social_media_agent,pr_agent,pr_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:02:00,20460518_01_003,20460518_01_002,quality_agent,social_media_agent,social_media_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:03:00,20460518_01_004,20460518_01_003,legal_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:04:00,20460518_01_005,20460518_01_004,quality_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:05:00,20460518_01_006,20460518_01_005,pr_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:06:00,20460518_01_007,20460518_01_006,quality_agent,pr_agent,pr_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:07:00,20460518_01_008,20460518_01_007,legal_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:08:00,20460518_01_009,20460518_01_008,quality_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:10:00,20460518_01_011,20460518_01_009,legal_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:12:00,20460518_01_013,20460518_01_012,quality_agent,legal_agent,legal_agent,one_on_one_chat,responding_to_valid,1
reply,1,2046-05-18T09:13:00,20460518_01_014,20460518_01_013,legal_agent,quality_agent,quality_agent,one_on_one_chat,responding_to_valid,1
reply,1,2046-05-18T09:14:00,20460518_01_015,20460518_01_011,quality_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:15:00,20460518_01_016,20460518_01_014,quality_agent,legal_agent,legal_agent,one_on_one_chat,responding_to_valid,1
reply,1,2046-05-18T09:16:00,20460518_01_017,20460518_01_015,quality_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:17:00,20460518_01_018,20460518_01_017,social_media_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:18:00,20460518_01_019,20460518_01_018,pr_agent,social_media_agent,social_media_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:19:00,20460518_01_020,20460518_01_019,legal_agent,pr_agent,pr_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:20:00,20460518_01_021,20460518_01_020,quality_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:21:00,20460518_01_022,20460518_01_021,quality_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
thread_parent,1,2046-05-18T09:22:00,20460518_01_023,20460518_01_016,pr_agent,quality_agent,quality_agent,one_on_one_chat,heuristic,1
reply,1,2046-05-18T09:23:00,20460518_01_024,20460518_01_023,social_media_agent,pr_agent,pr_agent,one_on_one_chat,responding_to_valid,1
reply,1,2046-05-18T09:24:00,20460518_01_025,20460518_01_024,pr_agent,social_media_agent,social_media_agent,one_on_one_chat,responding_to_valid,1
reply,1,2046-05-18T09:25:00,20460518_01_026,20460518_01_025,social_media_agent,pr_agent,pr_agent,one_on_one_chat,responding_to_valid,1
thread_parent,1,2046-05-18T09:26:00,20460518_01_027,20460518_01_010,social_media_agent,pr_agent,pr_agent,official_post,heuristic,1
reply,1,2046-05-18T09:27:00,20460518_01_028,20460518_01_022,social_media_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:28:00,20460518_01_029,20460518_01_028,quality_agent,social_media_agent,social_media_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:29:00,20460518_01_030,20460518_01_029,legal_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:30:00,20460518_01_031,20460518_01_030,quality_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:31:00,20460518_01_032,20460518_01_014,quality_agent,legal_agent,legal_agent,one_on_one_chat,responding_to_valid,1
reply,1,2046-05-18T09:32:00,20460518_01_033,20460518_01_032,legal_agent,quality_agent,quality_agent,one_on_one_chat,responding_to_valid,1
reply,1,2046-05-18T09:33:00,20460518_01_034,20460518_01_033,quality_agent,legal_agent,legal_agent,one_on_one_chat,responding_to_valid,1
reply,1,2046-05-18T09:34:00,20460518_01_035,20460518_01_031,pr_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,1,2046-05-18T09:35:00,20460518_01_036,20460518_01_035,social_media_agent,pr_agent,pr_agent,comms_huddle,responding_to_valid,1
thread_parent,1,2046-05-18T09:36:00,20460518_01_037,20460518_01_034,quality_agent,quality_agent,quality_agent,one_on_one_chat,heuristic,1
reply,1,2046-05-18T09:37:00,20460518_01_038,20460518_01_037,pr_agent,quality_agent,quality_agent,one_on_one_chat,responding_to_valid,1
reply,1,2046-05-18T09:38:00,20460518_01_039,20460518_01_038,quality_agent,pr_agent,pr_agent,one_on_one_chat,responding_to_valid,1
reply,1,2046-05-18T09:39:00,20460518_01_040,20460518_01_036,quality_agent,social_media_agent,social_media_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:01:00,20460521_02_002,20460521_02_001,quality_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:02:00,20460521_02_003,20460521_02_002,quality_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:03:00,20460521_02_004,20460521_02_003,quality_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:04:00,20460521_02_005,20460521_02_004,legal_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:05:00,20460521_02_006,20460521_02_005,quality_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:06:00,20460521_02_007,20460521_02_006,social_media_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
mention,2,2046-05-21T09:06:00,20460521_02_007,,social_media_agent,,@TenantRights_Org,comms_huddle,content_mention,1
reply,2,2046-05-21T09:07:00,20460521_02_008,20460521_02_007,pr_agent,social_media_agent,social_media_agent,comms_huddle,responding_to_valid,1
mention,2,2046-05-21T09:07:00,20460521_02_008,,pr_agent,,@HousingJusticeNow,comms_huddle,content_mention,1
reply,2,2046-05-21T09:08:00,20460521_02_009,20460521_02_008,quality_agent,pr_agent,pr_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:09:00,20460521_02_010,20460521_02_009,legal_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:10:00,20460521_02_011,20460521_02_010,quality_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:11:00,20460521_02_012,20460521_02_011,quality_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:12:00,20460521_02_013,20460521_02_012,legal_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:13:00,20460521_02_014,20460521_02_013,quality_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:14:00,20460521_02_015,20460521_02_014,pr_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
mention,2,2046-05-21T09:14:00,20460521_02_015,,pr_agent,,@TenantRights_Org,comms_huddle,content_mention,1
reply,2,2046-05-21T09:16:00,20460521_02_017,20460521_02_016,legal_agent,quality_agent,quality_agent,one_on_one_chat,responding_to_valid,1
reply,2,2046-05-21T09:17:00,20460521_02_018,20460521_02_017,quality_agent,legal_agent,legal_agent,one_on_one_chat,responding_to_valid,1
reply,2,2046-05-21T09:18:00,20460521_02_019,20460521_02_018,legal_agent,quality_agent,quality_agent,one_on_one_chat,responding_to_valid,1
reply,2,2046-05-21T09:19:00,20460521_02_020,20460521_02_015,social_media_agent,pr_agent,pr_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:20:00,20460521_02_021,20460521_02_020,pr_agent,social_media_agent,social_media_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:21:00,20460521_02_022,20460521_02_021,quality_agent,pr_agent,pr_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:22:00,20460521_02_023,20460521_02_022,legal_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:23:00,20460521_02_024,20460521_02_023,quality_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
thread_parent,2,2046-05-21T09:24:00,20460521_02_025,20460521_02_019,pr_agent,legal_agent,legal_agent,one_on_one_chat,heuristic,1
reply,2,2046-05-21T09:25:00,20460521_02_026,20460521_02_025,quality_agent,pr_agent,pr_agent,one_on_one_chat,responding_to_valid,1
reply,2,2046-05-21T09:26:00,20460521_02_027,20460521_02_026,pr_agent,quality_agent,quality_agent,one_on_one_chat,responding_to_valid,1
reply,2,2046-05-21T09:28:00,20460521_02_029,20460521_02_024,social_media_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:29:00,20460521_02_030,20460521_02_029,pr_agent,social_media_agent,social_media_agent,comms_huddle,responding_to_valid,1
thread_parent,2,2046-05-21T09:30:00,20460521_02_031,20460521_02_027,social_media_agent,pr_agent,pr_agent,one_on_one_chat,heuristic,1
reply,2,2046-05-21T09:31:00,20460521_02_032,20460521_02_031,pr_agent,social_media_agent,social_media_agent,one_on_one_chat,responding_to_valid,1
reply,2,2046-05-21T09:32:00,20460521_02_033,20460521_02_032,social_media_agent,pr_agent,pr_agent,one_on_one_chat,responding_to_valid,1
reply,2,2046-05-21T09:33:00,20460521_02_034,20460521_02_030,quality_agent,pr_agent,pr_agent,comms_huddle,responding_to_valid,1
reply,2,2046-05-21T09:34:00,20460521_02_035,20460521_02_034,quality_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
thread_parent,2,2046-05-21T09:35:00,20460521_02_036,20460521_02_028,pr_agent,social_media_agent,social_media_agent,official_post,heuristic,1
thread_parent,2,2046-05-21T09:36:00,20460521_02_037,20460521_02_033,legal_agent,social_media_agent,social_media_agent,one_on_one_chat,heuristic,1
thread_parent,2,2046-05-21T09:37:00,20460521_02_038,20460521_02_037,legal_agent,legal_agent,legal_agent,one_on_one_chat,heuristic,1
mention,3,2046-05-22T09:00:00,20460522_03_001,,social_media_agent,,@TenantRights_Org,comms_huddle,content_mention,1
reply,3,2046-05-22T09:01:00,20460522_03_002,20460522_03_001,legal_agent,social_media_agent,social_media_agent,comms_huddle,responding_to_valid,1
reply,3,2046-05-22T09:02:00,20460522_03_003,20460522_03_002,quality_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,3,2046-05-22T09:03:00,20460522_03_004,20460522_03_003,quality_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,3,2046-05-22T09:04:00,20460522_03_005,20460522_03_004,pr_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,3,2046-05-22T09:05:00,20460522_03_006,20460522_03_005,social_media_agent,pr_agent,pr_agent,comms_huddle,responding_to_valid,1
mention,3,2046-05-22T09:05:00,20460522_03_006,,social_media_agent,,@TenantRights_Org,comms_huddle,content_mention,1
reply,3,2046-05-22T09:06:00,20460522_03_007,20460522_03_006,legal_agent,social_media_agent,social_media_agent,comms_huddle,responding_to_valid,1
mention,3,2046-05-22T09:07:00,20460522_03_008,,social_media_agent,,@PropTechWatcher,one_on_one_chat,content_mention,1
reply,3,2046-05-22T09:08:00,20460522_03_009,20460522_03_007,quality_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,3,2046-05-22T09:09:00,20460522_03_010,20460522_03_008,pr_agent,social_media_agent,social_media_agent,one_on_one_chat,responding_to_valid,1
reply,3,2046-05-22T09:10:00,20460522_03_011,20460522_03_010,social_media_agent,pr_agent,pr_agent,one_on_one_chat,responding_to_valid,1
mention,3,2046-05-22T09:10:00,20460522_03_011,,social_media_agent,,@PropTechWatcher,one_on_one_chat,content_mention,1
reply,3,2046-05-22T09:11:00,20460522_03_012,20460522_03_009,quality_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,3,2046-05-22T09:12:00,20460522_03_013,20460522_03_012,legal_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,3,2046-05-22T09:13:00,20460522_03_014,20460522_03_013,pr_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,3,2046-05-22T09:14:00,20460522_03_015,20460522_03_014,social_media_agent,pr_agent,pr_agent,comms_huddle,responding_to_valid,1
reply,3,2046-05-22T09:15:00,20460522_03_016,20460522_03_015,quality_agent,social_media_agent,social_media_agent,comms_huddle,responding_to_valid,1
reply,3,2046-05-22T09:16:00,20460522_03_017,20460522_03_016,pr_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,3,2046-05-22T09:18:00,20460522_03_019,20460522_03_017,quality_agent,pr_agent,pr_agent,comms_huddle,responding_to_valid,1
reply,3,2046-05-22T09:19:00,20460522_03_020,20460522_03_019,legal_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
thread_parent,3,2046-05-22T09:20:00,20460522_03_021,20460522_03_011,quality_agent,social_media_agent,social_media_agent,one_on_one_chat,heuristic,1
reply,3,2046-05-22T09:21:00,20460522_03_022,20460522_03_021,legal_agent,quality_agent,quality_agent,one_on_one_chat,responding_to_valid,1
reply,3,2046-05-22T09:22:00,20460522_03_023,20460522_03_022,quality_agent,legal_agent,legal_agent,one_on_one_chat,responding_to_valid,1
reply,3,2046-05-22T09:23:00,20460522_03_024,20460522_03_023,legal_agent,quality_agent,quality_agent,one_on_one_chat,responding_to_valid,1
reply,3,2046-05-22T09:24:00,20460522_03_025,20460522_03_020,social_media_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
mention,3,2046-05-22T09:24:00,20460522_03_025,,social_media_agent,,@PropTechWatcher,comms_huddle,content_mention,1
reply,3,2046-05-22T09:25:00,20460522_03_026,20460522_03_025,pr_agent,social_media_agent,social_media_agent,comms_huddle,responding_to_valid,1
thread_parent,3,2046-05-22T09:26:00,20460522_03_027,20460522_03_024,quality_agent,legal_agent,legal_agent,one_on_one_chat,heuristic,1
thread_parent,3,2046-05-22T09:27:00,20460522_03_028,20460522_03_018,pr_agent,social_media_agent,social_media_agent,official_post,heuristic,1
reply,3,2046-05-22T09:28:00,20460522_03_029,20460522_03_027,social_media_agent,quality_agent,quality_agent,one_on_one_chat,responding_to_valid,1
mention,3,2046-05-22T09:28:00,20460522_03_029,,social_media_agent,,@TenantRights_Org,one_on_one_chat,content_mention,1
reply,3,2046-05-22T09:29:00,20460522_03_030,20460522_03_029,quality_agent,social_media_agent,social_media_agent,one_on_one_chat,responding_to_valid,1
reply,3,2046-05-22T09:30:00,20460522_03_031,20460522_03_030,social_media_agent,quality_agent,quality_agent,one_on_one_chat,responding_to_valid,1
reply,3,2046-05-22T09:31:00,20460522_03_032,20460522_03_026,quality_agent,pr_agent,pr_agent,comms_huddle,responding_to_valid,1
reply,3,2046-05-22T09:32:00,20460522_03_033,20460522_03_032,legal_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,3,2046-05-22T09:33:00,20460522_03_034,20460522_03_033,quality_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,3,2046-05-22T09:35:00,20460522_03_036,20460522_03_035,legal_agent,quality_agent,quality_agent,side_huddle,responding_to_valid,1
reply,3,2046-05-22T09:36:00,20460522_03_037,20460522_03_036,pr_agent,legal_agent,legal_agent,side_huddle,responding_to_valid,1
reply,3,2046-05-22T09:37:00,20460522_03_038,20460522_03_037,social_media_agent,pr_agent,pr_agent,side_huddle,responding_to_valid,1
mention,3,2046-05-22T09:37:00,20460522_03_038,,social_media_agent,,@PropTechWatcher,side_huddle,content_mention,1
reply,3,2046-05-22T09:38:00,20460522_03_039,20460522_03_038,quality_agent,social_media_agent,social_media_agent,side_huddle,responding_to_valid,1
reply,3,2046-05-22T09:39:00,20460522_03_040,20460522_03_039,legal_agent,quality_agent,quality_agent,side_huddle,responding_to_valid,1
thread_parent,3,2046-05-22T09:40:00,20460522_03_041,20460522_03_031,quality_agent,social_media_agent,social_media_agent,one_on_one_chat,heuristic,1
thread_parent,3,2046-05-22T09:41:00,20460522_03_042,20460522_03_041,quality_agent,quality_agent,quality_agent,one_on_one_chat,heuristic,1
thread_parent,4,2046-05-23T09:01:00,20460523_04_002,20460523_04_001,legal_agent,legal_agent,legal_agent,one_on_one_chat,heuristic,1
thread_parent,4,2046-05-23T09:02:00,20460523_04_003,20460523_04_002,quality_agent,legal_agent,legal_agent,one_on_one_chat,heuristic,1
thread_parent,4,2046-05-23T09:04:00,20460523_04_005,20460523_04_003,pr_agent,quality_agent,quality_agent,one_on_one_chat,heuristic,1
thread_parent,4,2046-05-23T09:05:00,20460523_04_006,20460523_04_005,pr_agent,pr_agent,pr_agent,one_on_one_chat,heuristic,1
reply,4,2046-05-23T09:06:00,20460523_04_007,20460523_04_004,quality_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
reply,4,2046-05-23T09:07:00,20460523_04_008,20460523_04_007,quality_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
thread_parent,4,2046-05-23T09:08:00,20460523_04_009,20460523_04_006,quality_agent,pr_agent,pr_agent,one_on_one_chat,heuristic,1
reply,4,2046-05-23T09:09:00,20460523_04_010,20460523_04_008,pr_agent,quality_agent,quality_agent,comms_huddle,responding_to_valid,1
reply,4,2046-05-23T09:10:00,20460523_04_011,20460523_04_010,legal_agent,pr_agent,pr_agent,comms_huddle,responding_to_valid,1
reply,4,2046-05-23T09:11:00,20460523_04_012,20460523_04_011,social_media_agent,legal_agent,legal_agent,comms_huddle,responding_to_valid,1
